subj_idx,change_number,rhythm,response,rt,x1,x2,x3,x4,x5,x6
8,4,0,1,0.501362599956337,0,0,1,0,0,0
8,0,1,0,0.901276700024027,1,0,0,1,0,0
8,0,1,0,2.11932309996337,1,0,0,1,0,0
8,2,1,1,1.38142400002107,0,1,0,0,1,0
8,4,0,1,0.483600200037472,0,0,1,0,0,0
8,2,0,1,0.799511999997776,0,1,0,0,0,0
8,4,0,1,0.574065799999516,0,0,1,0,0,0
8,2,1,1,0.5068238999811,0,1,0,0,1,0
8,0,0,1,0.514749000023585,1,0,0,0,0,0
8,0,1,1,1.07443520001834,1,0,0,1,0,0
8,2,0,1,1.59649489994626,0,1,0,0,0,0
8,4,0,1,0.660868100007065,0,0,1,0,0,0
8,0,1,1,1.78864139999496,1,0,0,1,0,0
8,4,0,1,0.854247699957341,0,0,1,0,0,0
8,0,1,1,0.4683336999733,1,0,0,1,0,0
8,0,1,1,1.14741500001401,1,0,0,1,0,0
8,4,0,1,0.981843200046569,0,0,1,0,0,0
8,4,0,1,0.455836299981456,0,0,1,0,0,0
8,0,0,1,0.832638900028542,1,0,0,0,0,0
8,4,1,1,1.10918269999092,0,0,1,0,0,1
8,0,0,0,1.83835279999766,1,0,0,0,0,0
8,2,0,1,1.61589090002235,0,1,0,0,0,0
8,2,1,1,2.26661989995046,0,1,0,0,1,0
8,4,0,1,0.401120099995751,0,0,1,0,0,0
8,0,0,1,2.52219170000171,1,0,0,0,0,0
8,2,1,1,1.76104389998363,0,1,0,0,1,0
8,4,0,1,1.02426529995864,0,0,1,0,0,0
8,4,1,1,0.467513100011274,0,0,1,0,0,1
8,0,1,0,1.30171860003611,1,0,0,1,0,0
8,4,1,1,0.549201900023036,0,0,1,0,0,1
8,2,1,1,0.597130499954801,0,1,0,0,1,0
8,4,0,1,0.81741369998781,0,0,1,0,0,0
8,4,0,1,0.611903699988034,0,0,1,0,0,0
8,0,1,1,0.926196600019466,1,0,0,1,0,0
8,2,0,1,0.409003200009465,0,1,0,0,0,0
8,2,0,0,0.643467099987902,0,1,0,0,0,0
8,2,0,1,0.596891599998344,0,1,0,0,0,0
8,0,1,1,0.776441299996804,1,0,0,1,0,0
8,0,1,1,0.461472099996172,1,0,0,1,0,0
8,4,0,1,0.539476700010709,0,0,1,0,0,0
8,2,1,1,0.337955099996179,0,1,0,0,1,0
8,0,1,1,0.593154100002721,1,0,0,1,0,0
8,2,0,1,1.28436839999631,0,1,0,0,0,0
8,2,1,1,0.791865099978168,0,1,0,0,1,0
8,4,1,1,0.476566300028935,0,0,1,0,0,1
8,4,0,1,1.12173079996137,0,0,1,0,0,0
8,4,1,1,1.25945300003514,0,0,1,0,0,1
8,2,0,1,1.01358769997023,0,1,0,0,0,0
8,2,1,1,1.69561130000511,0,1,0,0,1,0
8,2,1,1,1.25856480002403,0,1,0,0,1,0
8,0,1,0,2.46418519999133,1,0,0,1,0,0
8,2,1,0,1.7986496000085,0,1,0,0,1,0
8,2,1,0,1.46444670000346,0,1,0,0,1,0
8,0,1,0,2.05247789999703,1,0,0,1,0,0
8,2,1,0,1.34899209998548,0,1,0,0,1,0
8,4,1,1,0.401082299998961,0,0,1,0,0,1
8,2,1,0,2.31591779994778,0,1,0,0,1,0
8,2,1,1,0.660322199983057,0,1,0,0,1,0
8,4,1,1,0.547903299971949,0,0,1,0,0,1
8,4,0,1,2.68512440001359,0,0,1,0,0,0
8,4,0,1,0.366960200015455,0,0,1,0,0,0
8,4,1,1,0.425960300024599,0,0,1,0,0,1
8,0,0,1,1.84780109999701,1,0,0,0,0,0
8,2,1,0,1.20991119998507,0,1,0,0,1,0
8,0,0,1,0.80324149999069,1,0,0,0,0,0
8,4,1,1,2.14422330004163,0,0,1,0,0,1
8,0,0,1,0.672001100028865,1,0,0,0,0,0
8,2,0,1,0.949106599960942,0,1,0,0,0,0
8,2,0,1,1.80615439999383,0,1,0,0,0,0
8,4,1,1,0.560885599988978,0,0,1,0,0,1
8,4,0,1,0.872360499983188,0,0,1,0,0,0
8,0,1,1,0.930715799971949,1,0,0,1,0,0
8,0,1,1,0.782862200052477,1,0,0,1,0,0
8,2,0,1,0.537628799967933,0,1,0,0,0,0
8,0,0,1,1.13154999999097,1,0,0,0,0,0
8,0,1,0,0.824962200014852,1,0,0,1,0,0
8,4,0,1,0.426664100028574,0,0,1,0,0,0
