subj_idx,rhythm,response,stim,rt,change_number
16,0,1,1,0.262028000084683,4
16,1,1,1,0.298215500079095,4
16,0,1,0,0.489801499992609,0
16,1,1,1,0.377460999996401,2
16,1,1,1,1.1793442000635,4
16,1,1,1,0.884308700100519,2
16,1,1,1,2.93034429999534,2
16,1,0,1,1.18666930007748,4
16,0,1,1,1.80701210000552,2
16,1,1,1,1.1506121000275,4
16,0,1,0,2.11438619997352,0
16,0,1,0,1.56265540001914,0
16,0,1,0,1.32272509997711,0
16,0,1,1,1.14980809995905,4
16,1,1,1,0.355158300022595,2
16,0,1,1,0.30417789996136,2
16,1,0,0,0.330285000032745,0
16,1,0,0,0.602907899999991,0
16,0,1,0,1.48440399998799,0
16,1,1,0,0.411174300010316,0
16,1,1,1,2.35536519996822,4
16,0,1,0,0.893593700020574,0
16,1,1,0,0.478084799950011,0
16,1,1,1,0.340799600002356,4
16,0,1,1,0.350261199986562,4
16,1,1,1,0.938537299982272,2
16,0,0,1,0.684150500106625,2
16,1,1,0,0.337955399998464,0
16,1,1,1,0.312807700014673,4
16,1,1,1,1.30262750003021,4
16,0,1,1,0.312110799946822,4
16,1,0,0,0.44173670001328,0
16,0,1,1,0.35119970003143,2
16,0,1,1,0.357714100042358,2
16,0,1,1,0.321430999902077,4
16,1,0,1,0.297266200068407,2
16,0,1,1,0.314549600007012,2
16,1,1,0,0.32013080001343,0
16,0,0,0,0.57608419994358,0
16,0,1,1,0.445355299976654,2
16,1,1,1,0.272706500021741,2
16,0,1,1,1.65845170000102,2
16,1,1,1,2.08665790001396,4
16,0,0,0,0.771106599946506,0
16,0,0,0,1.78451120003592,0
16,0,0,0,0.832824100041762,0
16,0,0,1,0.965153699973598,4
16,1,1,1,0.333330300054513,4
16,1,1,1,0.701690100017004,4
16,1,0,1,0.423956399899907,2
16,0,1,1,0.301170699996874,2
16,1,1,1,0.392920100013725,4
16,0,0,0,0.624560799915344,0
16,1,0,0,0.246090300031938,0
16,1,0,0,0.27355460007675,0
16,1,1,0,0.314285099972039,0
16,0,1,1,0.65397290000692,4
16,0,0,1,0.889411799958907,4
16,0,0,0,0.375379499979317,0
16,0,0,1,0.319918300025165,2
16,1,0,0,0.826167999999598,0
16,0,1,1,0.981078100041486,2
16,1,1,1,0.259944600053132,4
16,1,1,1,0.289748099981807,4
16,0,0,0,1.02487359999213,0
16,0,1,1,0.362837499938905,2
16,0,0,0,0.240819100057706,0
16,1,1,1,0.307277900050394,4
16,1,0,1,0.2488985999953,2
16,0,0,0,0.289936400018632,0
16,1,1,1,0.293305199942552,2
16,0,1,1,0.430041000014171,2
16,1,1,0,0.244572499999776,0
16,0,1,1,0.364171199966222,4
16,0,1,1,0.860634900047444,4
16,0,1,0,0.326224000076763,0
16,1,0,1,0.338029799982905,4
16,0,0,1,1.87940899992827,2
16,1,1,1,0.279649799922481,4
16,1,1,1,0.54957740008831,2
16,1,0,1,0.249420900014229,2
16,1,0,0,0.276827799971215,0
16,0,1,1,0.252860800013877,4
16,1,0,0,0.360787799931131,0
16,1,1,1,0.340766499983147,4
16,1,1,1,0.786104499944486,2
16,0,1,1,0.36649030004628,4
16,0,0,1,0.277569900033996,4
16,1,1,1,0.309157100040466,2
16,1,0,0,0.892906300025061,0
16,1,1,1,0.672502200002782,2
16,1,0,0,1.61437880003359,0
16,1,1,0,0.298186099971645,0
16,1,1,1,0.295977500034496,2
16,1,1,1,0.288090200047009,2
16,0,0,1,0.62365329999011,4
16,1,1,1,0.561903699999675,4
16,0,1,1,0.43719179998152,4
16,0,1,1,0.407256199978292,4
16,1,1,1,0.418908099993132,2
16,1,0,0,0.259133099927567,0
16,0,0,1,0.944984800065868,4
16,0,1,1,0.446516599971801,4
16,0,1,1,1.28160639991984,2
16,1,0,0,0.533072700025514,0
16,1,0,0,0.282460500020534,0
16,0,1,0,0.620400000014342,0
16,0,1,1,0.518794399918988,4
16,0,1,1,0.553364799940027,4
16,0,1,1,0.282490200013854,2
16,1,1,1,0.309304700000212,2
16,1,1,1,0.382352699991316,2
16,0,0,0,0.280169499921612,0
16,1,1,1,0.705220300005749,4
16,1,0,1,0.734500500024296,2
16,0,0,0,0.53805920004379,0
16,0,1,1,0.335585799999535,4
16,0,1,1,0.308706699986942,4
16,0,0,0,0.338841199991293,0
16,0,0,1,0.268914600019343,4
16,1,1,1,0.577563699916936,4
16,0,1,1,0.271799799986184,4
16,0,1,1,0.481357300071977,2
16,1,1,1,0.23109149991069,4
16,0,1,1,0.268572499975562,2
16,0,0,1,0.292270099977031,2
16,0,0,1,0.659087200067006,2
16,1,1,1,0.339197700028308,2
16,1,1,1,0.267343300045468,2
16,0,1,1,1.62714580004103,4
16,1,0,0,0.511620000004768,0
16,0,1,0,0.404207900050096,0
16,0,0,0,1.36947999999393,0
16,0,1,1,1.39018029998988,2
16,1,1,0,0.315972000011243,0
